ObjectID,PositionX,PositionY,Timestamp, X,Y,Theta
1,-1.3247,-0.0617,1739270963.646000,-0.0060,-0.0072,0.0009
1,-1.3014,-0.0008,1739270963.857000,-0.0055,-0.0081,0.0009
1,-1.2656,0.1067,1739270964.088000,-0.0054,-0.0077,0.0012
1,-1.2620,0.0988,1739270964.357000,-0.0044,-0.0073,0.0005
1,-1.2202,0.1974,1739270964.575000,-0.0049,-0.0069,0.0006
1,-1.2370,0.2643,1739270964.784000,-0.0049,-0.0076,-0.0001
1,-1.2787,0.3562,1739270965.016000,-0.0061,-0.0071,0.0013
1,-1.3372,0.4711,1739270965.288000,-0.0051,-0.0079,0.0010
1,-1.3540,0.5262,1739270965.505000,-0.0062,-0.0079,0.0016
1,-1.3516,0.6082,1739270965.723000,-0.0052,-0.0079,0.0012
1,-1.3623,0.6755,1739270965.937000,-0.0066,-0.0059,0.0010
1,-1.3423,0.7507,1739270966.167000,-0.0056,-0.0056,0.0008
1,-1.3707,0.8103,1739270966.438000,-0.0064,-0.0070,0.0008
1,-1.3573,0.9162,1739270966.669000,-0.0062,-0.0080,0.0014
1,-1.4089,1.0380,1739270966.925000,-0.0057,-0.0081,0.0009
1,-1.4304,1.0595,1739270967.160000,-0.0060,-0.0095,0.0005
1,-1.4062,1.1105,1739270967.427000,-0.0057,-0.0090,0.0013
1,-1.3301,1.1096,1739270967.661000,-0.0062,-0.0095,0.0007
1,-1.2584,1.1025,1739270967.886000,-0.0058,-0.0094,0.0008
1,-1.1429,1.1920,1739270968.180000,-0.0062,-0.0095,0.0010
1,-1.0698,1.1781,1739270968.444000,-0.0068,-0.0092,0.0012
1,-0.9647,1.2028,1739270968.650000,-0.0062,-0.0083,0.0007
1,-0.8950,1.2399,1739270968.872000,-0.0063,-0.0083,0.0018
1,-0.8170,1.2234,1739270969.098000,-0.0061,-0.0075,0.0005
1,-0.7167,1.1732,1739270969.373000,-0.0053,-0.0080,0.0006
1,-0.6164,1.1669,1739270969.592000,-0.0059,-0.0067,-0.0002
1,-0.5635,1.1383,1739270969.802000,-0.0065,-0.0050,0.0004
1,-0.4736,1.1725,1739270970.020000,-0.0057,-0.0048,0.0003
1,-0.3844,1.1920,1739270970.239000,-0.0057,-0.0054,0.0008
1,-0.3092,1.2359,1739270970.465000,-0.0060,-0.0031,0.0003
1,-0.2125,1.2314,1739270970.737000,-0.0060,-0.0032,0.0004
1,-0.1337,1.2243,1739270970.968000,-0.0062,-0.0028,0.0008
1,-0.0557,1.1837,1739270971.190000,-0.0064,-0.0030,0.0010
1,0.0502,1.1586,1739270971.442000,-0.0057,-0.0072,0.0013
1,0.1170,1.1781,1739270971.674000,-0.0065,-0.0039,0.0011
1,0.2173,1.2171,1739270971.880000,-0.0056,-0.0069,0.0009
1,0.2925,1.2505,1739270972.095000,-0.0071,-0.0071,0.0007
1,0.3391,1.2887,1739270972.380000,-0.0061,-0.0094,0.0015
1,0.4430,1.2986,1739270972.601000,-0.0065,-0.0092,0.0015
1,0.4597,1.2589,1739270972.887000,-0.0065,-0.0094,0.0011
1,0.5621,1.2422,1739270973.172000,-0.0067,-0.0085,0.0014
1,0.6129,1.2449,1739270973.386000,-0.0062,-0.0093,-0.0000
1,0.6352,1.2589,1739270973.670000,-0.0066,-0.0102,0.0012
1,0.7439,1.2589,1739270973.917000,-0.0065,-0.0091,-0.0003
1,0.7689,1.2735,1739270974.178000,-0.0062,-0.0104,0.0002
2,-0.1588,-0.6384,1739270931.368000,-0.0028,-0.0020,0.0004
2,-0.1588,-0.6384,1739270931.670000,-0.0032,-0.0028,0.0011
2,-0.1588,-0.6384,1739270931.933000,-0.0045,-0.0057,0.0003
2,-0.1738,-0.6484,1739270932.143000,-0.0057,-0.0071,0.0016
2,-0.1964,-0.6509,1739270932.365000,-0.0064,-0.0095,0.0015
2,-0.1964,-0.6509,1739270932.586000,-0.0072,-0.0116,0.0028
2,-0.2006,-0.6634,1739270932.793000,-0.0092,-0.0121,0.0026
2,-0.2006,-0.6634,1739270933.030000,-0.0085,-0.0148,0.0032
2,-0.2006,-0.6634,1739270933.283000,-0.0101,-0.0158,0.0023
